,menu,submenu,subsubmenu,url
102,reports_&_statistics,statistics,monthly_report_of_portfolio_manager,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doPmr=yes
103,reports_&_statistics,statistics,open_offers,https://www.sebi.gov.in/statistics/open-offers.html
104,reports_&_statistics,statistics,reits_and_invits,https://www.sebi.gov.in/statistics/reits-invits.html
105,reports_&_statistics,statistics,green_debt_securities,https://www.sebi.gov.in/statistics/greenbonds.html
106,reports_&_statistics,statistics,municipal_debt_securities,https://www.sebi.gov.in/statistics/municipalbonds.html
107,reports_&_statistics,reports,reports_for_public_comments,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=38&smid=35
108,reports_&_statistics,reports,committee_reports,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=38&smid=36
109,reports_&_statistics,reports,national_strategy_for_financial_inclusion_(nsfi)_:_2019-24,https://www.sebi.gov.in/National_Strategy_for_Financial_Inclusion.html
110,reports_&_statistics,reports,reports_for_reference,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=38&smid=115
111,reports_&_statistics,public_interest_disclosure,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=26&smid=0
112,reports_&_statistics,internship,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=76&smid=0
113,reports_&_statistics,information_to_public_on_complaints,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=51&smid=0
114,reports_&_statistics,annual_accounts,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=70&smid=0
115,reports_&_statistics,international_research_conference,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=53&smid=0
116,reports_&_statistics,notice_for_meeting_on_schemes,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=71&smid=0
117,reports_&_statistics,history_of_indian_securities_market,reports_and_notifications,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=41&smid=85
118,reports_&_statistics,glossary,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=31&smid=0
119,status,cause_list,,https://www.sebi.gov.in/sebiweb/home/cause-list.jsp
120,status,processing_application_status,,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doIntermediator=yes&type=2
121,media_&_notifications,gallery,,https://www.sebi.gov.in/gallery.html
122,media_&_notifications,press_releases,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=23&smid=0
123,media_&_notifications,public_notices,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=25&smid=0
124,media_&_notifications,news_clarifications,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=27&smid=0
125,media_&_notifications,speeches,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=28&smid=0
126,media_&_notifications,unsc_sanctions_committee_list,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=86&smid=0
127,media_&_notifications,"notifications_under_unlawful_activities_prevention_act,_1967",,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=94&smid=0
128,media_&_notifications,fatf_public_statements,jurisdictions_subject_to_call_for_action,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=95&smid=135
129,media_&_notifications,fatf_public_statements,jurisdictions_under_increased_monitoring,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=6&ssid=95&smid=137
0,legal,acts,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListingLegal=yes&sid=1&ssid=1&smid=0
1,legal,rules,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListingLegal=yes&sid=1&ssid=2&smid=0
2,legal,regulations,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListingLegal=yes&sid=1&ssid=3&smid=0
3,legal,general_orders,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=4&smid=0
4,legal,guidelines,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=5&smid=0
5,legal,master_circulars,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=6&smid=0
6,legal,circulars,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=7&smid=0
7,legal,circulars_archive,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListingCirArchive=yes&sid=1&ssid=7&smid=0
8,legal,gazette_notification,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=82&smid=0
9,legal,online_application_portal,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=91&smid=0
10,legal,guidance_notes,historical_data,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=85&smid=0
